input_id	dealiased_id	standard_id	short_id
doi:10.1146/annurev-genom-111720-081402	doi:10.1146/annurev-genom-111720-081402	doi:10.1146/annurev-genom-111720-081402	tyLSEVnP
doi:10.1111/j.1095-8312.2010.01531.x	doi:10.1111/j.1095-8312.2010.01531.x	doi:10.1111/j.1095-8312.2010.01531.x	Tw8w7mV3
doi:10.1002/ece3.11503	doi:10.1002/ece3.11503	doi:10.1002/ece3.11503	11BPceIkC
doi:10.1186/s12915-020-0753-2	doi:10.1186/s12915-020-0753-2	doi:10.1186/s12915-020-0753-2	IKVBgaCE
doi:10.1093/iob/obad008	doi:10.1093/iob/obad008	doi:10.1093/iob/obad008	19h9vxsYG
doi:10.1038/s41467-020-19303-w	doi:10.1038/s41467-020-19303-w	doi:10.1038/s41467-020-19303-w	jHalJ9Zw
doi:10.5281/zenodo.2587555	doi:10.5281/zenodo.2587555	doi:10.5281/zenodo.2587555	115PPSuQp
doi:10.3233/978-1-61499-649-1-87	doi:10.3233/978-1-61499-649-1-87	doi:10.3233/978-1-61499-649-1-87	1Bh7g5XAe
doi:10.5281/zenodo.18257528	doi:10.5281/zenodo.18257528	doi:10.5281/zenodo.18257528	4vi5Vvpx
dask	dask	dask	hj1CnyWB
doi:10.5281/zenodo.3773450	doi:10.5281/zenodo.3773450	doi:10.5281/zenodo.3773450	p38Gm1rT
doi:10.6688/JISE.2001.17.5.1	doi:10.6688/JISE.2001.17.5.1	doi:10.6688/jise.2001.17.5.1	JICzDA7P
url:https://k3d-jupyter.org	url:https://k3d-jupyter.org	url:https://k3d-jupyter.org	jxVw2kt2
doi:10.1007/978-1-4614-7657-3_19	doi:10.1007/978-1-4614-7657-3_19	doi:10.1007/978-1-4614-7657-3_19	EsDua5wx
doi:10.1111/2041-210X.13669	doi:10.1111/2041-210X.13669	doi:10.1111/2041-210x.13669	MwdN6kPV
doi:10.1038/nmeth.2019	doi:10.1038/nmeth.2019	doi:10.1038/nmeth.2019	Fkmz2cmo
doi:10.3789/ansi.niso.z39.104-2022	doi:10.3789/ansi.niso.z39.104-2022	doi:10.3789/ansi.niso.z39.104-2022	11ofsO2hq
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
