Folder,Bucket,Scan,Scanner,Scan date,Voxelsize [μm],Source voltage [kV],Source current [μA],Filter,Exposure time [ms],Frame averaging,Number of projections,Projection size [px],Rotation step [°],360° scan,Scan duration [s],Stacked scans,Total scan duration [s],Number of reconstructions,Reconstruction size [px],Region of interest for reconstruction,Ring removal correction,Beam hardening correction,Gray value mapping,NRecon version,Fish IDs
BucketOfFish_A/18um_rec,BucketOfFish_A,18um_rec,SkyScan 2214,2023-11-10 22:04:16,17.999448,60.0,140.0,,1089,,3601,"(1536, 1944)",0.1,True,11934.0,3,35802.0,4094,"(1536, 1536)",False,,,0.040384,2.1.0.1,"['FG.X23.001', 'FG.X23.002', 'FG.X23.004', 'FG.X23.005', 'FG.X23.006', 'FG.X23.030']"
BucketOfFish_A/15um_rec,BucketOfFish_A,15um_rec,SkyScan 2214,2023-11-11 12:03:24,15.000176,60.0,140.0,,1089,,3601,"(3072, 1944)",0.1,True,11887.0,2,23774.0,2177,"(3072, 3072)",False,,,0.064372,2.1.0.1,"['FG.X23.001', 'FG.X23.002', 'FG.X23.004', 'FG.X23.005', 'FG.X23.006', 'FG.X23.030']"
BucketOfFish_A/17.5um_rec,BucketOfFish_A,17.5um_rec,SkyScan 2214,2023-11-11 19:31:27,17.499569,60.0,140.0,,1089,,3601,"(3072, 1944)",0.1,True,11898.0,3,35694.0,4206,"(3072, 3072)",False,,,0.041574,2.2.0.6,"['FG.X23.001', 'FG.X23.002', 'FG.X23.004', 'FG.X23.005', 'FG.X23.006', 'FG.X23.030']"
BucketOfFish_A/19um_rec,BucketOfFish_A,19um_rec,SkyScan 2214,2023-11-12 23:58:37,19.00072,60.0,140.0,,882,,3601,"(3072, 1944)",0.1,True,10476.0,3,31428.0,3867,"(3072, 3072)",False,,,0.056215,2.1.0.1,"['FG.X23.001', 'FG.X23.002', 'FG.X23.004', 'FG.X23.005', 'FG.X23.006', 'FG.X23.030']"
BucketOfFish_B/rec,BucketOfFish_B,rec,SkyScan 2214,2023-11-28 19:38:15,17.499569,60.0,110.0,,1344,,3601,"(3066, 1944)",0.1,True,13764.0,3,41292.0,3715,"(3064, 3064)",False,,,0.040277,2.2.0.6,"['FG.X23.003', 'FG.X23.007', 'FG.X23.008', 'FG.X23.009', 'FG.X23.010', 'FG.X23.011']"
BucketOfFish_C/rec,BucketOfFish_C,rec,SkyScan 2214,2023-11-30 20:51:39,17.499569,60.0,110.0,,1344,,3601,"(3066, 1944)",0.1,True,13830.0,3,41490.0,3309,"(3064, 3064)",False,,,0.045825,2.2.0.6,"['FG.X23.012', 'FG.X23.013', 'FG.X23.014', 'FG.X23.015', 'FG.X23.016', 'FG.X23.017']"
BucketOfFish_D/rec,BucketOfFish_D,rec,SkyScan 2214,2023-12-07 21:03:51,15.000176,60.0,110.0,,1482,,3601,"(3066, 1944)",0.1,True,15654.0,3,46962.0,4536,"(3064, 3064)",False,,,0.051578,2.2.0.6,"['FG.X23.018', 'FG.X23.019', 'FG.X23.020', 'FG.X23.021', 'FG.X23.022', 'FG.X23.023']"
BucketOfFish_E/rec,BucketOfFish_E,rec,SkyScan 2214,2023-12-12 21:26:50,15.000176,60.0,110.0,,1482,,3601,"(3066, 1944)",0.1,True,15631.0,3,46893.0,4417,"(3064, 3064)",False,,,0.062252,2.2.0.6,"['FG.X23.024', 'FG.X23.025', 'FG.X23.026', 'FG.X23.027', 'FG.X23.028', 'FG.X23.029']"
BucketOfFish_F/rec,BucketOfFish_F,rec,SkyScan 2214,2023-12-20 16:15:55,15.000176,60.0,110.0,,1482,,3601,"(3066, 1944)",0.1,True,15878.0,3,47634.0,4639,"(3064, 3064)",False,,,0.048228,2.2.0.6,"['FG.X23.031', 'SL.X23.001', 'SL.X23.002', 'SL.X23.003', 'SL.X23.004', 'SL.X23.005']"
BucketOfFish_G/rec,BucketOfFish_G,rec,SkyScan 2214,2023-12-21 20:30:47,15.000176,60.0,110.0,,1482,,3601,"(3066, 1944)",0.1,True,15938.0,3,47814.0,4371,"(3064, 3064)",False,,,0.046297,2.2.0.6,"['SL.X23.006', 'SL.X23.007', 'SL.X23.008', 'SL.X23.009', 'SL.X23.010', 'SL.X23.011']"
